# Negative conformance vectors: files a conforming reader must reject.
#   go test ./format -run TestConformanceVectorsNegative -update
# name  xxhash64(file)  (no content hash: these files do not decode)
version 2
biome_bare_name ca7436475405a9ee
biome_duplicate_name 6cb791863fad65e4
bitset_padding_bits fee4a756ab16005d
blob_id_first_use_order 8ddd396e67753661
blob_index_out_of_range f649ee696198604b
blob_refs_duplicate 90c144d520ab51f7
blob_refs_not_ascending ed9cf5aa2421814e
blob_table_duplicate 3899aa45df194e15
blob_table_unreferenced fcc874111f131507
blob_uniform_width_nonzero bc0cd1b28364d55e
blob_unused_palette_entry ddc4240f01ae8598
blob_width_not_minimal 3a55c97e15fd5299
block_entity_duplicate_position bbc123f026e00b0e
block_entity_out_of_order 820bf36e4a582adb
block_entity_outside_span f92f52302cbc2022
checkpoint_hash 2b10fc82c7deaaa2
flag_default_biome_ref_without_flag a2a7770e569b8f4d
flag_dimension_reserved c54125f14862dc69
flag_reserved_bit2 4ceac10c3b4886a6
flag_reserved_bit8 aa440920453bec70
footer_generation_nonzero cf722a1a0ab7354f
footer_magic e93d56e66ae9b406
header_block_version_zero e32558e0eb3f28f8
header_kind e3f14455c60e395d
header_magic b905dec3638525d0
header_mode 0faf2a6fe0f054c5
header_structure_indexed a6c12872eccf8d34
header_version b893fc768a836fea
indexed_empty_palette_segment 16853c3385244da2
indexed_prologue_block_version_zero f7324b7696cf9cc0
indexed_prologue_stats_flag 9d95c31488ed89d6
layer_count_over_max 88fc7c7e1b234445
light_flags_reserved_bits d32096b2832bffb6
light_flags_zero 9b3c9d5e63b2189f
nbt_duplicate_keys 8d5b616df819a4ac
nbt_keys_not_ascending 68922685a15c08be
nbt_named_root 95f877f498ab0c83
override_index_chain_wraps be1241c9e45ac62e
override_same_version 8cd393988aca3fd6
override_zero_delta 521a9167cd4528bd
override_zero_version d57ac1929e73d91c
palette_duplicate_entry 99fe27f1e67b011e
palette_property_order 5128f0fb3255b888
record_duplicate_position 29c319e36e249032
record_keys_not_ascending a4db78814d8ea1ef
record_trailing_bytes 87d6b808c001c72c
scheduled_update_out_of_order f1e499489d44db64
section_all_air 3e5a9d9307e0a302
section_present_with_no_layers fa9b7973ce28ccd9
section_trailing_air_layer ebc4f7f13cb77e03
settings_wrong_tag 8a9bf0263886e985
stats_wrong_tag 7bfb8c9b9a78fc71
string_not_utf8 7bb2d73f5f925482
structure_biome_palette_nonempty 6ef8987892286f17
structure_block_entity_outside_box 47ccb4526c6141f5
structure_flag_set afc2ebf54d30fbce
uvarint_overlong 831ac9c79d13ffe7
